tabella,indice nome,indice campo,tipo
"Cust_ Invoices per Salesperson","Invoice Remaining Amount",,"campo"
"Cust_ Invoices per Salesperson","Invoice Remaining Amount (LCY)",,"campo"
"Cust_ Invoices per Salesperson","Received _",,"campo"
"Cust_ Invoices per Salesperson","Gained Commission",,"campo"
"Cust_ Invoices per Salesperson","Gained Commission (LCY)",,"campo"
"Cust_ Invoices per Salesperson","Not in Settlement",,"campo"
"Cust_ Invoices per Salesperson","Commission per U_M_",,"campo"
"Cust_ Invoices per Salesperson","Commission per U_M_ (LCY)",,"campo"
"Cust_ Invoices per Salesperson","Amount Commission _",,"campo"
"Cust_ Invoices per Salesperson","Amount Commission _ (LCY)",,"campo"
"Cust_ Invoices per Salesperson","Quantity Commission _",,"campo"
"Cust_ Invoices per Salesperson","Quantity Commission _ (LCY)",,"campo"
"Cust_ Invoices per Salesperson","Comm_ Base Gross Amt_",,"campo"
"Cust_ Invoices per Salesperson","Comm_ Base Gross Amt_ (LCY)",,"campo"
"Cust_ Invoices per Salesperson","Decreasing Factor",,"campo"
"Cust_ Invoices per Salesperson","Invoice Disc_ Amount",,"campo"
"Cust_ Invoices per Salesperson","Invoice Disc_ Amount (LCY)",,"campo"
"Cust_ Invoices per Salesperson","Line Disc_ Aumount",,"campo"
"Cust_ Invoices per Salesperson","Line Disc_ Aumount (LCY)",,"campo"
"Cust_ Invoices per Salesperson","Salesperson Disc_ Group Code",,"campo"
"Cust_ Invoices per Salesperson","Area Manager Disc_ Group Code",,"campo"
"Cust_ Invoices per Salesperson","Third Salesp_ Disc_ Group Code",,"campo"
"Cust_ Invoices per Salesperson","Discount _",,"campo"
"Cust_ Invoices per Salesperson","Dimension Set ID",,"campo"
"Cust_ Invoices per Salesperson","Accounting Date",,"campo"
"Cust_ Invoices per Salesperson","Accounted",,"campo"
"Cust_ Invoices per Salesperson","Subject 1 Disc_ Group Code",,"campo"
"Cust_ Invoices per Salesperson","Subject 2 Disc_ Group Code",,"campo"
"Cust_ Invoices per Salesperson","Geographical Zone",,"campo"
"Cust_ Invoices per Salesperson","Trademark Code",,"campo"
"Cust_ Invoices per Salesperson","Season Code",,"campo"
"Cust_ Invoices per Salesperson","Subject 3 Disc_ Group Code",,"campo"
"Cust_ Invoices per Salesperson","Subject 4 Disc_ Group Code",,"campo"
